KB,AQI0,AQI1,AQI2,AQI3,Label0,Label1,Label2,Label3,Change1,Change2,Change3
2013-06-02T14,85,83,79,78,1,1,1,1,1-1,1-1,1-1
2013-06-02T15,84,82,78,80,1,1,1,1,1-1,1-1,1-1
2013-06-02T16,83,82,77,83,1,1,1,1,1-1,1-1,1-1
2013-06-02T17,82,82,75,83,1,1,1,1,1-1,1-1,1-1
2013-06-02T18,83,80,73,83,1,1,1,1,1-1,1-1,1-1
2013-06-02T19,83,80,77,82,1,1,1,1,1-1,1-1,1-1
2013-06-02T20,83,79,78,80,1,1,1,1,1-1,1-1,1-1
2013-06-02T21,82,78,80,79,1,1,1,1,1-1,1-1,1-1
2013-06-02T22,82,77,83,79,1,1,1,1,1-1,1-1,1-1
2013-06-02T23,82,75,83,78,1,1,1,1,1-1,1-1,1-1
2013-06-03T00,80,73,83,77,1,1,1,1,1-1,1-1,1-1
2013-06-03T01,80,77,82,75,1,1,1,1,1-1,1-1,1-1
2013-06-03T02,79,78,80,75,1,1,1,1,1-1,1-1,1-1
2013-06-03T03,78,80,79,75,1,1,1,1,1-1,1-1,1-1
2013-06-03T04,77,83,79,75,1,1,1,1,1-1,1-1,1-1
2013-06-03T05,75,83,78,75,1,1,1,1,1-1,1-1,1-1
2013-06-03T06,73,83,77,77,1,1,1,1,1-1,1-1,1-1
2013-06-03T07,77,82,75,78,1,1,1,1,1-1,1-1,1-1
2013-06-03T08,78,80,75,78,1,1,1,1,1-1,1-1,1-1
2013-06-03T09,80,79,75,79,1,1,1,1,1-1,1-1,1-1
2013-06-03T10,83,79,75,79,1,1,1,1,1-1,1-1,1-1
2013-06-03T11,83,78,75,80,1,1,1,1,1-1,1-1,1-1
2013-06-03T12,83,77,77,82,1,1,1,1,1-1,1-1,1-1
2013-06-03T13,82,75,78,82,1,1,1,1,1-1,1-1,1-1
2013-06-03T14,80,75,78,83,1,1,1,1,1-1,1-1,1-1
2013-06-03T15,79,75,79,83,1,1,1,1,1-1,1-1,1-1
2013-06-03T16,79,75,79,83,1,1,1,1,1-1,1-1,1-1
2013-06-03T17,78,75,80,84,1,1,1,1,1-1,1-1,1-1
2013-06-03T18,77,77,82,85,1,1,1,1,1-1,1-1,1-1
2013-06-03T19,75,78,82,88,1,1,1,1,1-1,1-1,1-1
2013-06-03T20,75,78,83,89,1,1,1,1,1-1,1-1,1-1
2013-06-03T21,75,79,83,90,1,1,1,1,1-1,1-1,1-1
2013-06-03T22,75,79,83,92,1,1,1,1,1-1,1-1,1-1
